Player,Pos,Team,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD
Chris Rodriguez Jr.,RB,WAS,0,0,0,379,2.4,5,36,0.2
Devontez Walker,WR,BAL,0,0,0,17,0.2,32,403,2.2
Sam Darnold,QB,MIN,906,4.9,3.5,54,0.3,0,0,0
Noah Fant,TE,SEA,0,0,0,0,0,39,417,2.3
Trenton Irwin,WR,CIN,0,0,0,10,0.1,36,388,2.5
Juwan Johnson,TE,NO,0,0,0,0,0,42,393,2.6
Aidan O'Connell,QB,LV,1012,5.4,4.7,9,0.2,0,0,0
Rashod Bateman,WR,BAL,0,0,0,17,0.2,30,379,2.3
Kevin Harris,RB,NE,0,0,0,345,2.5,5,37,0.2
Greg Dortch,WR,ARI,0,0,0,21,0.2,42,396,1.8
Darius Slayton,WR,NYG,0,0,0,0,0,31,392,2.4
Greg Dulcich,TE,DEN,0,0,0,0,0,35,404,2.2
A.T. Perry,WR,NO,0,0,0,7,0.1,36,385,2.3
Tre Tucker,WR,LV,0,0,0,54,0.3,25,359,1.7
Cedric Tillman,WR,CLE,0,0,0,16,0.1,33,364,2.4
Trey Palmer,WR,TB,0,0,0,16,0.1,35,376,2.2
Devin Duvernay,WR,JAC,0,0,0,25,0,35,366,2.3
Isaiah Spiller,RB,LAC,0,0,0,306,1.9,12,86,0.3
Mike Gesicki,TE,CIN,0,0,0,0,0,40,379,2.4
Spencer Rattler,QB,NO,521,2.4,1.8,39,0.3,16,137,1
